y_test,y_prob
1,0.7771823616369065
0,0.7398637787635214
0,0.2655571324507712
0,0.20546352157962533
1,0.7011373571383206
1,0.895490789565908
1,0.794340195574324
1,0.7909963066454021
1,0.9084933107214859
0,0.2758497958460298
0,0.7448861621604083
1,0.7965070561403501
0,0.5
0,0.7890333963311537
1,0.9406390801421406
1,0.7502952589069857
1,0.8147069134345747
0,0.47251817641566884
1,0.808037169132908
0,0.602805979847104
1,0.6249642796422584
1,0.8237029285242066
0,0.0929550727639308
0,0.42635494344133795
1,0.8251389720657707
1,0.8605435286310299
1,0.7726414821742551
1,0.835716074797164
1,0.20431193728193126
0,0.02952356996986789
0,0.31056963372778257
0,0.3042769743665272
0,0.06816353264546571
0,0.5772618311976374
0,0.1719718628584229
0,0.043085353466725256
1,0.5810814914614474
0,0.29204880455590065
0,0.02370864196107805
0,0.37398056090309467
0,0.05808207319817851
1,0.852861070012642
0,0.33620390595826427
1,0.5837950030998057
1,0.7265561674067443
0,0.295282306081201
0,0.09121874373288417
0,0.1856573789451592
0,0.5113438822583222
1,0.7845002567896223
1,0.8037204789919609
0,0.3644030185967075
0,0.26181730605764275
0,0.06792711921168386
1,0.7776942661870023
0,0.6549921005072726
1,0.3628978537555678
1,0.48464629100315326
1,0.7544433028689921
1,0.9118200410199206
1,0.679209921898673
0,0.5320890432393595
0,0.7968811040548238
0,0.6717749662343092
0,0.27633015914217535
0,0.7522991468558234
1,0.7880296152012553
0,0.3908198667798688
0,0.5825916428077229
1,0.9598339696639523
0,0.7933645044610897
1,0.8061876291375522
0,0.032100592917871575
1,0.8244490578916394
0,0.7732560141002491
0,0.07696444850973871
0,0.288418490683214
1,0.6046045997909324
1,0.5500606176806727
0,0.2622572470242989
1,0.7659565588476355
0,0.37646166068279147
0,0.6974712764235671
0,0.10329390332772836
1,0.4046719838400786
1,0.11285801418058228
0,0.09735833889564244
0,0.46326390254871797
0,0.09599953048971785
1,0.486978796812378
0,0.6138190017758158
1,0.8303375016153698
1,0.47146041237949926
1,0.7454355811298238
0,0.3470115570356241
0,0.4367350831866112
0,0.14457010197642234
1,0.7637508497994892
0,0.6189796180143474
1,0.91438607920014
1,0.29592531141709566
1,0.5944265818115855
0,0.5636154979016151
1,0.7590004481001728
1,0.6477377274404285
1,0.3859547678286154
0,0.3974872015208575
0,0.09808151417529633
1,0.7512656361007892
1,0.49205453140388367
0,0.7745807116609413
1,0.7773544829174911
1,0.6850388087633095
0,0.22346082067092798
0,0.05595513440553043
1,0.7785228501564769
0,0.5956585248051741
0,0.38748557715843046
1,0.1909587549247681
1,0.3922486941922628
1,0.9632882913423922
1,0.7576578704370467
1,0.8541923282394812
0,0.4152561201057434
1,0.8563298454336705
0,0.036413866730510745
1,0.7551357524019588
1,0.7834420215729687
1,0.35533483775729996
0,0.11638056886813145
1,0.7147644880237277
1,0.3383936784502858
1,0.7741663208977423
1,0.589249203862661
0,0.06017744473527477
1,0.5892030208119647
1,0.8595637560981821
1,0.6862636578420676
1,0.5603725339451647
0,0.7529307673873191
1,0.5955489368321649
1,0.8956503265342133
0,0.09244204999158678
1,0.5682197730961067
1,0.8995406781160782
1,0.6932824045170614
1,0.6665987956690732
1,0.8964740721598187
1,0.5502187185524314
1,0.2212854472283916
0,0.5843138182690366
0,0.24047659508400643
0,0.136063792752238
0,0.21645076022164458
